"ageInDays","description","easyApply","employer/id","employer/logoUrl","employer/name","employer/url","id","location/countryId","location/id","location/name","location/type","pay/currency","pay/max","pay/min","pay/period","pay/source","rating","seoUrl","title","url"
"1","<p><b>Kualifikasi :</b></p><ul><li>Minimal Sarjana/Diploma di bidang Teknik Informatika/ Sistem Informasi</li><li>Pengalaman minimal 1&ndash;3 tahun dalam administrasi sistem/server.</li><li>Maksimal berusia 35 tahun</li><li>Memahami konsep virtualisasi dan containerization.</li><li>Memiliki pemahaman dasar scripting (Bash, PowerShell).</li><li>Memiliki kemampuan analitis dan pemecahan masalah yang baik</li><li>Keterampilan komunikasi tertulis dan lisan yang kuat, dengan kemampuan untuk berkolaborasi secara efektif di seluruh tim teknis dan non-teknis.</li></ul><p><b>Tugas Utama:</b></p><p>1. Merancang, mengembangkan dan memelihara aplikasi web berbasis PHP (framework Laravel).</p><p>2. Memiliki pemahaman mengenai struktur data dan manajement database (MySQL/MariaDB, dll).</p><p>3. Mampu mengembangkan Mobile App Dev (Flutter).</p><p>Jenis Pekerjaan: Penuh Waktu</p><p>Lokasi Kerja: Tatap muka</p>","true","0",,"PT. Solusindo Bintang Pratama","https://www.glassdoor.com/Overview/W-EI_IE0.htm","1010154777120","113","2709872","Jakarta","C","IDR","305335.62","-194664.38","HOURLY","EMPLOYER_PROVIDED","0","https://www.glassdoor.com/job-listing/software-development-pt-solusindo-bintang-pratama-JV_IC2709872_KO0,20_KE21,49.htm?jl=1010154777120","Software Development","https://www.glassdoor.com/job-listing/j?jl=1010154777120"
"0","<p>Kami adalah perusahaan kontraktor yang sedang berkembang pesat dan mencari seorang **Drafter** yang detail, cekatan, dan berpengalaman untuk bergabung dengan tim proyek kami. Posisi ini bertanggung jawab untuk menerjemahkan konsep desain menjadi gambar kerja teknis (As-Built &amp; Shop Drawing) yang akurat dan siap dieksekusi di lapangan.</p><p>### **Peran &amp; Tanggung Jawab (Job Description)**</p><p>* **Pembuatan Gambar Teknis:** Membuat gambar kerja (*Shop Drawing*) dan gambar akhir (*As-Built Drawing*) untuk proyek arsitektur, struktur, maupun MEP (sesuai kebutuhan perusahaan) menggunakan software CAD/BIM.</p><p>* **Koordinasi Lapangan:** Bekerja sama dengan *Project Manager*, *Site Engineer*, dan tim lapangan untuk memastikan gambar yang dibuat sesuai dengan kondisi riil di lapangan dan spesifikasi kontrak.</p><p>* **Revisi &amp; Pembaruan:** Melakukan revisi gambar secara cepat dan akurat jika terjadi perubahan desain atau instruksi lapangan (*Site Instruction*).</p><p>* **Manajemen Dokumen:** Mengelola, mengarsip, dan mendistribusikan dokumen gambar secara rapi (baik *softcopy* maupun *hardcopy*) agar tidak terjadi kesalahan penggunaan versi gambar di lapangan.</p><p>* **Perhitungan Volume (Nilai Plus):** Membantu tim Estimator/QS dalam menghitung volume material berdasarkan gambar yang dibuat jika diperlukan.</p><p>### **Kriteria &amp; Kualifikasi (Job Requirement)**</p><p>* **Pendidikan:** Minimal SMK Jurusan Teknik Gambar Bangunan / D3 / S1 Teknik Sipil / Arsitektur.</p><p>* **Pengalaman:** Minimal 2-3 tahun pengalaman sebagai Drafter di perusahaan Kontraktor (pengalaman di proyek gedung/infrastruktur akan menjadi nilai tambah).</p><p>* **Keahlian Software:**</p><p>* Wajib menguasai **AutoCAD** (2D &amp; 3D).</p><p>* Menguasai software BIM seperti **Revit** atau **Sketchup** merupakan nilai plus yang besar.</p><p>* **Kemampuan Teknis:** Mengerti dan memahami cara membaca gambar teknik, detail struktur, arsitektur, serta material bangunan.</p><p>* **Karakter &amp; Sikap Kerja:**</p><p>* Memiliki ketelitian yang tinggi (detail-oriented) dan disiplin.</p><p>* Mampu bekerja di bawah tekanan target waktu (*deadline*) proyek.</p><p>* Memiliki kemampuan komunikasi dan kerja sama tim yang baik.</p><p>* **Lokasi:** Bersedia ditempatkan di [Lokasi Kantor/Proyek] atau melakukan kunjungan ke *site* proyek jika dibutuhkan.</p><p>### **Cara Melamar**</p><p>Kirimkan CV terbaru, Surat Lamaran, beserta **Portofolio Gambar Kerja (Shop Drawing)** terbaik Anda</p><p>Job Type: Contract<br/>Contract length: 3 months</p><p>Work Location: In person</p>","true","0",,"PT Aneka Interniaga Gemilang","https://www.glassdoor.com/Overview/W-EI_IE0.htm","1010155192256","113","2709872","Jakarta","C","IDR","6500000","5000000","MONTHLY","EMPLOYER_PROVIDED","0","https://www.glassdoor.com/job-listing/drafter-pt-aneka-interniaga-gemilang-JV_IC2709872_KO0,7_KE8,36.htm?jl=1010155192256","Drafter","https://www.glassdoor.com/job-listing/j?jl=1010155192256"
"0","<p><b>Key Responsibilities</b></p><ul><li>CI/CD Pipeline Management: Designing and maintaining automated build, test, and release pipelines to speed up delivery.</li><li>Containerization &amp; Orchestration: Managing applications using Docker and Kubernetes for scalable environments.</li><li>Cloud Operations: Managing cloud-based infrastructure (e.g., AWS, Azure, Google Cloud, Alibaba).</li><li>Monitoring &amp; Security: Implementing monitoring solutions (logging/alerting) and integrating security measures (DevSecOps) at all stages.</li><li>Troubleshooting &amp; Support: Performing root cause analysis (RCA) and resolving production issues. </li><li>Implementing approaches: risk management, clustering, load balancing, and failover.</li></ul><p><b>Required Skills and Qualifications</b></p><ul><li>Experience: Proven experience as a DevOps engineer, Site Reliability Engineer (SRE), or similar software engineering role.</li><li>Scripting/Programming: Proficiency in languages like Python, Bash, or Ruby.</li><li>Tools: Familiarity with Git (GitHub), CI/CD tools (Jenkins, GitLab CI), and container technology.</li><li>System Administration: Solid understanding of Linux, networking (DNS, Firewalls), and databases.</li><li>Knowledge: Kong Gateway, Redis, Kafka, NATS, Performance Monitoring Dashboard (Grafana)</li><li>Collaboration: Strong communication skills to foster collaboration between development and operations teams.</li></ul><p>Work Location: In person</p>","true","0",,"PT Elistec Informatika Utama","https://www.glassdoor.com/Overview/W-EI_IE0.htm","1010155790688","113","2709872","Jakarta","C","IDR","8000000","6000000","MONTHLY","EMPLOYER_PROVIDED","0","https://www.glassdoor.com/job-listing/devops-pt-elistec-informatika-utama-JV_IC2709872_KO0,6_KE7,35.htm?jl=1010155790688","DevOps","https://www.glassdoor.com/job-listing/j?jl=1010155790688"
"0","<p>Sunshine Agri Pratama - sister company dari Cahaya Boga Utama, adalah perusahaan makanan yang berfokus pada produk buah dan bahan pangan alami berkualitas tinggi. Seiring dengan pertumbuhan bisnis kami, kami mencari seorang Head Of Manufacturing yang berpengalaman untuk memimpin operasional produksi, memastikan efisiensi proses, kualitas produk, dan pencapaian target produksi perusahaan.Tanggung Jawab</p><ul><li>Memimpin dan mengelola seluruh kegiatan operasional produksi sehari-hari.</li><li>Menyusun dan mengawasi perencanaan produksi berdasarkan target penjualan dan kapasitas produksi.</li><li>Memastikan target output, kualitas, efisiensi, dan ketepatan waktu produksi tercapai.</li><li>Mengembangkan serta mengimplementasikan sistem kerja yang efektif untuk meningkatkan produktivitas dan mengurangi waste.</li><li>Mengawasi penerapan standar keamanan pangan, GMP, SSOP, HACCP, dan prosedur mutu perusahaan.</li><li>Mengontrol penggunaan bahan baku, bahan kemas, tenaga kerja, dan utilitas agar sesuai dengan standar efisiensi yang ditetapkan.</li><li>Berkoordinasi dengan tim PPIC, Quality Assurance, Maintenance, Warehouse, dan Procurement untuk memastikan kelancaran operasional.</li><li>Melakukan analisis penyebab masalah produksi dan mengimplementasikan tindakan perbaikan berkelanjutan (continuous improvement).</li><li>Mengembangkan dan membina tim produksi melalui pelatihan, coaching, dan evaluasi kinerja.</li><li>Memastikan seluruh aktivitas produksi mematuhi standar keselamatan dan kesehatan kerja (K3).</li><li>Menyusun laporan produksi, produktivitas, efisiensi, dan pencapaian KPI secara berkala kepada manajemen.</li></ul><p>Kualifikasi:</p><ul><li>Pendidikan minimal S1 Teknik Industri, Teknologi Pangan, Teknik Kimia, atau jurusan terkait.</li><li>Memiliki pengalaman minimal 5 tahun di bidang manufaktur makanan dan minuman (FMCG), dengan minimal 2 tahun pada posisi manajerial.</li><li>Memahami proses produksi pangan, pengendalian mutu, keamanan pangan, dan sistem manajemen produksi.</li><li>Memiliki pengalaman dalam implementasi GMP, HACCP, BPOM, Halal, dan standar keamanan pangan lainnya.</li><li>Mampu melakukan perencanaan kapasitas produksi, pengendalian biaya, dan peningkatan efisiensi operasional.</li><li>Memiliki kemampuan leadership yang kuat serta mampu mengelola tim dengan jumlah personel yang besar.</li><li>Terbiasa menggunakan sistem ERP atau software manufaktur menjadi nilai tambah.</li><li>Memiliki kemampuan analisis, problem solving, dan pengambilan keputusan yang baik.</li><li>Mampu bekerja di lingkungan yang dinamis dan berorientasi pada target.</li><li>Bersedia ditempatkan di lokasi pabrik perusahaan.</li></ul><p>Work Location: In person</p>","true","10495157",,"CV. Cahaya Boga Utama","https://www.glassdoor.com/Overview/W-EI_IE10495157.htm","1010156405321","113","2793794","Denpasar","C","IDR","10000000","8000000","MONTHLY","EMPLOYER_PROVIDED","1","https://www.glassdoor.com/job-listing/production-manager-cv-cahaya-boga-utama-JV_IC2793794_KO0,18_KE19,39.htm?jl=1010156405321","Production Manager","https://www.glassdoor.com/job-listing/j?jl=1010156405321"
"0","<p>Kualifikasi:</p><ul><li>Pendidikan minimal <b>D3 Teknik Komputer, Teknik Informatika, atau jurusan terkait</b>.</li><li><b>Fresh graduate dipersilakan melamar</b>.</li><li>Memahami dasar <b>perangkat keras (hardware) Laptop dan PC</b>.</li><li>Memiliki kemampuan <b>troubleshooting dasar</b>, mendiagnosis, dan menentukan permasalahan <b>hardware maupun software</b> pada PC/Notebook.</li><li>Mampu melakukan <b>bongkar pasang Laptop dan PC</b> menjadi nilai tambah.</li><li>Memiliki pengetahuan dasar tentang <b>Sistem Operasi Windows dan Linux</b>.</li><li>Bersedia bekerja <b>onsite</b> dan berdomisili di <b>Jakarta</b>.</li></ul><p>Jenis Pekerjaan: Kontrak<br/>Panjang kontrak: 12 bulan</p><p>Pertanyaan Lamaran:</p><ul><li>Berdomisili dimanakah Anda?</li><li>Apakah bersedia bergabung secepatnya?</li></ul><p>Lokasi Kerja: Tatap muka</p>","true","0",,"PT Mitra Infoparama","https://www.glassdoor.com/Overview/W-EI_IE0.htm","1010156159625","113","2709872","Jakarta","C","IDR",,,,,"0","https://www.glassdoor.com/job-listing/it-helpdesk-jakarta-pt-mitra-infoparama-JV_IC2709872_KO0,19_KE20,39.htm?jl=1010156159625","IT Helpdesk Jakarta","https://www.glassdoor.com/job-listing/j?jl=1010156159625"
"0","<p><b>Deskripsi Pekerjaan </b></p><p>Digital Multi Sinergy, perusahaan yang bergerak di bidang Teknologi Informasi (IT) dan solusi digital, membuka kesempatan bagi individu yang memiliki semangat tinggi dalam penjualan, komunikasi yang baik, dan berorientasi pada target untuk bergabung sebagai Sales IT.</p><p><b>Tanggung Jawab</b></p><ul><li>Menjalin serta menjaga hubungan baik dengan new customer maupun existing.</li><li>Memahami kebutuhan pelanggan dan menawarkan solusi IT yang sesuai.</li><li>Melakukan presentasi produk, layanan, dan solusi kepada calon pelanggan.</li><li>Menyusun surat penawaran harga serta melakukan negosiasi hingga proses closing.</li><li>Berkordinasi dengan tim internal untuk memastikan kebutuhan pelanggan terpenuhi dengan baik.</li><li>Membuat laporan aktivitas penjualan dan perkembangan prospek secara berkala</li><li>Mencapai target penjualan yang telah ditetapkan perusahaan.</li></ul><p><b>Kualifikasi</b></p><ul><li>Pendidikan minimal D3/S1 di bidang Teknik Informatika, Sistem Informasi, Ilmu Komputer, atau jurusan lain yang relevan dengan bidang IT dan teknologi.</li><li>Memiliki pengalaman minimal 1-3 tahun di bidang Sales IT, Business Development, atau posisi serupa.</li><li>Memiliki pemahaman mengenai produk dan layanan IT seperti Software, Hardware, Network Infrastructure, Internet Service Provider (ISP), FTTH, Cloud Computing, Data Center, Cyber Security, atau Managed Services.</li><li>Berorientasi pada target, proaktif, dan memiliki kemampuan problem solving yang baik.</li><li>Memiliki pengalaman menjual solusi IT B2B (Business to Business).</li><li>Memiliki jaringan atau relasi di sektor korporasi, pemerintahan, pendidikan, atau industri lainnya.</li><li>Memahami proses pengadaan proyek IT dan tender menjadi nilai tambah.</li></ul><p>Jenis Pekerjaan: Penuh Waktu</p><p>Lokasi Kerja: Tatap muka</p>","true","0",,"Digital Multi Sinergy","https://www.glassdoor.com/Overview/W-EI_IE0.htm","1010155870202","113","2709872","Jakarta","C","IDR","6000000","5100000","MONTHLY","EMPLOYER_PROVIDED","0","https://www.glassdoor.com/job-listing/sales-it-digital-multi-sinergy-JV_IC2709872_KO0,8_KE9,30.htm?jl=1010155870202","Sales IT","https://www.glassdoor.com/job-listing/j?jl=1010155870202"
"1","<p><b>Lokasi:</b> Bogor, Jawa Barat</p><p>Deskripsi Pekerjaan</p><p>Kami mencari <b>Surveyor Konstruksi</b> yang berpengalaman dan teliti untuk bergabung dalam tim proyek pembangunan pabrik, gudang, dan gedung perkantoran di wilayah Bogor. Kandidat yang terpilih akan bertanggung jawab atas seluruh pekerjaan survei dan setting out, khususnya untuk pekerjaan pondasi dan struktur bangunan, guna memastikan pelaksanaan konstruksi sesuai dengan gambar kerja dan spesifikasi yang telah disetujui.</p><p>Tanggung Jawab</p><ul><li>Melakukan survei lapangan dan menentukan titik kontrol proyek (benchmark dan control point).</li><li>Melakukan setting out untuk pekerjaan pondasi, pile cap, kolom, grid line, jalan, saluran drainase, dan struktur bangunan.</li><li>Memastikan dimensi, elevasi, koordinat, dan posisi konstruksi sesuai dengan gambar kerja.</li><li>Menyiapkan laporan hasil survei, data pengukuran, dan gambar as-built.</li><li>Berkoordinasi dengan Project Manager, Site Engineer, Konsultan, dan Kontraktor.</li><li>Memastikan seluruh pekerjaan survei memenuhi standar mutu dan spesifikasi proyek.</li><li>Mengoperasikan dan memelihara peralatan survei seperti Total Station, Auto Level, GPS, dan peralatan terkait lainnya.</li><li>Melakukan pengecekan dan monitoring pekerjaan konstruksi selama pelaksanaan proyek.</li></ul><p>Kualifikasi</p><ul><li>Pendidikan minimal D3/S1 Teknik Sipil, Geodesi, Geomatika, atau bidang terkait.</li><li>Memiliki pengalaman minimal <b>5 tahun</b> sebagai Surveyor pada proyek konstruksi gedung.</li><li>Berpengalaman dalam <b>setting out pondasi untuk pabrik, gudang, dan gedung perkantoran</b>.</li><li>Menguasai penggunaan <b>Total Station, GPS, Auto Level, AutoCAD</b>, dan software survei lainnya.</li><li>Memahami gambar kerja, koordinat, elevasi, dan layout struktur bangunan.</li><li>Mampu bekerja secara mandiri maupun dalam tim.</li><li>Memiliki kemampuan komunikasi yang baik dan bertanggung jawab terhadap pekerjaan.</li><li>Bersedia ditempatkan dan bekerja penuh waktu di <b>Bogor</b>.</li></ul><p>Kualifikasi Tambahan (Nilai Plus)</p><ul><li>Berpengalaman dalam proyek konstruksi industri dan komersial.</li><li>Memahami standar dan regulasi konstruksi yang berlaku di Indonesia.</li><li>Mampu membuat dan memverifikasi dokumen as-built drawing.</li></ul><p>Fasilitas</p><ul><li>Gaji kompetitif sesuai pengalaman dan kualifikasi.</li><li>Kesempatan bekerja pada proyek industri dan komersial berskala besar.</li><li>Peluang pengembangan karier dan peningkatan kompetensi profesional.</li></ul><p><b>Cara Melamar:</b></p><p>Kirimkan CV terbaru, ekspektasi gaji, serta daftar pengalaman proyek yang relevan melalui Indeed atau email perusahaan.</p><p>Work Location: In person</p>","true","0",,"PT Gatra Mitrakon Semesta","https://www.glassdoor.com/Overview/W-EI_IE0.htm","1010154207854","113","113","Indonesia","N","IDR","8000000","7000000","MONTHLY","EMPLOYER_PROVIDED","0","https://www.glassdoor.com/job-listing/surveyor-konstruksi-proyek-pabrik-gedung-perkantoran-pt-gatra-mitrakon-semesta-JV_KO0,52_KE53,78.htm?jl=1010154207854","Surveyor Konstruksi – Proyek Pabrik & Gedung Perkantoran","https://www.glassdoor.com/job-listing/j?jl=1010154207854"
"8","<div><p><b>Job Title</b></p>
Procurement<p><b>
Job Description Summary</b></p>
The Procurement Specialist will oversee and execute the end-of-to-end purchasing, sourcing, and contract management strategies for all packages during the construction phase of our Data Center project. This role is critical in securing long-lead mission-critical equipment, civil/structural materials, and trade subcontractors, ensuring all transactions align with strict project timelines, budget constraints, and technical specifications.<p><b>
Job Description</b></p><p><b>
About the Role:
</b></p><ul><li><p><b>End-to-End Specialized Sourcing:</b> Execute the procurement cycle for high-value, mission-critical equipment (UPS systems, chillers, generators, transformers) and manage priority manufacturing slots with global suppliers.</p></li><li><b>
Subcontractor Tendering &amp; RFPs:</b> Draft, issue, and manage comprehensive RFPs/RFQs for civil, structural, architectural, and complex MEP trade packages.</li><li><b>
Commercial Evaluation &amp; Negotiation:</b> Conduct rigorous commercial tender analyses, lead cost negotiations, and finalize purchase orders and FIDIC-based construction subcontracts.</li><li><b>
Expediting &amp; Supply Chain Controls:</b> Monitor supplier factory production milestones and coordinate international logistics/customs clearance to ensure on-time delivery to the site, minimizing construction delays.</li><li><b>
Budget &amp; Change Management:</b> Track procurement spend against the baseline project budget, identify cost-saving opportunities, and rigorously manage subcontractor variation/change orders.</li></ul><p></p><p><b>
About You:
</b></p><ul><li><b>Education:</b> Bachelor&rsquo;s degree in Supply Chain Management, Engineering (Civil, Mechanical, Electrical), or a related business field.</li><li><b>
Industry Experience:</b> Minimum 5+ years of heavy construction procurement experience, with a strict requirement for direct exposure to <b>Data Centers, high-tech industrial plants, power infrastructure, or large-scale oil &amp; gas projects</b>.</li><li><b>
Technical Competencies:</b> Strong command of MEP technical frameworks, deep knowledge of international shipping/logistics for heavy machinery, and familiarity with structured contract terms (e.g., FIDIC).</li><li><b>
Systems Proficiency:</b> Hands-on experience using corporate ERP and procurement software (e.g., SAP, Oracle, Ariba).</li><li><b>
Languages:</b> Professional-level fluency in both written and spoken <b>English and Bahasa Indonesia</b> to manage both international vendors and local site teams.</li></ul><p></p><p><b>
Why join Cushman &amp; Wakefield?</b></p><p>
As one of the leading global real estate services firms transforming the way people work, shop and live working at Cushman &amp; Wakefield means you will benefit from;</p><ul><li>
Being part of a growing global company;</li><li>
Career development and a promote from within culture;</li><li>
An organisation committed to Diversity and Inclusion</li></ul><p>
We're committed to providing work-life balance for our people in an inclusive, rewarding environment.</p><p><br>
We achieve this by providing a flexible and agile work environment by focusing on technology and autonomy to help our people achieve their career ambitions. We focus on career progression and foster a promotion from within culture, leveraging global opportunities to ensure we retain our top talent. We encourage continuous learning and development opportunities to develop personal, professional and technical capabilities, and we reward with a comprehensive employee benefits program.</p><div><p><b>
We have a vision of the future, where people simply belong.</b></p><p></p><p><i>
That's why we support and celebrate inclusive causes, not just on days of recognition throughout the year, but every day. We embrace diversity across race, colour, religion, sex, national origin, sexual orientation, gender identity or persons with disabilities or protected veteran status.</i></p></div><p></p><p><i>
We ensure DEI is part of our DNA as a global community - it means we go way beyond than just talking about it - we live it. If you want to live it too, join us.</i></p><br>
<p></p>
INCO: &ldquo;Cushman &amp; Wakefield&rdquo;</div>","true","7416","https://media.glassdoor.com/sql/7416/cushman-and-wakefield-squarelogo-1452893847588.png","Cushman & Wakefield, Inc.","https://www.glassdoor.com/Overview/W-EI_IE7416.htm","1010145374152","113","2709872","Jakarta","C","IDR",,,,,"3.7","https://www.glassdoor.com/job-listing/procurement-cushman-wakefield-JV_IC2709872_KO0,11_KE12,29.htm?jl=1010145374152","Procurement","https://www.glassdoor.com/job-listing/j?jl=1010145374152"
"21","<p>Bumi 360 Photobooth adalah jasa photobooth yang berada di Bali untuk segala jenis event.</p><p>Kualifikasi</p><ul><li>Menguasai teknik dasar fotografi dan pengoperasian kamera</li><li>Memiliki sense visual, framing, lighting, dan composition yang baik</li><li>Berpengalaman memotret event, dokumentasi, atau lifestyle menjadi nilai plus</li><li>Menguasai software editing foto seperti Adobe Lightroom dan Adobe Photoshop</li><li>Mampu bekerja cepat dan menghasilkan foto yang sesuai dengan brief</li><li>Kreatif, detail-oriented, dan mampu menangkap momen dengan baik</li><li>Memiliki kemampuan komunikasi dan teamwork yang baik</li><li>Bersedia bekerja secara fleksibel, termasuk weekend atau saat event berlangsung</li><li>Memiliki portfolio hasil foto yang dapat dilampirkan</li></ul><p>Sertakan CV &amp; Portfolio</p><p>Ability to commute/relocate:</p><ul><li>Bali: Reliably commute or planning to relocate before starting work (Preferred)</li></ul><p>Language:</p><ul><li>english (Preferred)</li></ul><p>Work Location: In person</p>","true","0",,"Bumi 360 Photobooth","https://www.glassdoor.com/Overview/W-EI_IE0.htm","1010132835983","113","2793794","Denpasar","C","IDR",,,,,"0","https://www.glassdoor.com/job-listing/photographer-bumi-360-photobooth-JV_IC2793794_KO0,12_KE13,32.htm?jl=1010132835983","Photographer","https://www.glassdoor.com/job-listing/j?jl=1010132835983"
"26","<div><p><b>About the role</b></p><p>
In this Software Engineering Intern role, you will gain the Engineering best practice knowledge within the Tech Organization, including the Product Management life cycle as well. You will be doing and being exposed to the CS fundamentals including data structures, methodologies, and strategies. Not only that, you will also be working with more senior engineers to gain more engineering context and solve real-life problem-solving cases.
</p><p>This role is perfect for those final year students (or a fresh graduate) who is interested to learn, to know better, and also grow in the Engineering field.
</p><p><b>What You Will Do</b></p><ul><li>
Produce readable and well-tested code, adhering to language, framework, and conventions. Follow good coding principles such as DRY, well-scoped functions, and small commits</li><li>
Delivers well-defined tasks or small stories in a reasonable timeframe, in collaboration with more senior engineers and in line with Pinhome's engineering principles</li><li>
Actively participate in and contribute to team processes including Backlog Groomings, Standups, IPM, and Retrospectives</li><li><p>
Ask for reviews of the code you're writing and feedback on the work you're doing</p></li><li><p>
Provide consistent, sufficient, and comprehensive test coverage</p></li><p></p><li>
Listen actively and articulate your thoughts/feelings. Regularly provide updates and ask for help quickly so you don't be stuck long enough to jeopardize the time delivery of your tasks</li><li><p>
Know how to ask for clarification when given a task with unclear requirements</p></li><li><p>
Maintain ticket state and keep stakeholders updated</p></li></ul><p><b>
What You Will Need</b></p><ul><li>
At least a Final Year Student with an interest in Engineering; majoring in computer science, information system, mathematics, engineering, is preferred. Fresh graduates are welcomed to apply.</li><li><p>
Solid understanding of core CS fundamentals: data structures, methodologies, and strategies.</p></li><li><p>
Have practical knowledge of the specific programming language(s) and framework(s) used by the squad</p></li><p></p><li>
Capable of understanding and diagnosing problems, communicating your proposed solutions, planning and applying fixes.</li><li>
Motivated to learn new technologies and techniques and demonstrate an ability to turn these learnings into new skills and experiences quickly.</li><li>
Having interest in the Product Management lifecycle as well.</li></ul><p><b>
About The Team</b></p><p>
Join our vibrant engineering team and become an integral part of a collaborative and innovative squad. As a Fullstack Software Engineer, you'll work closely with our Staff Engineers, PMs, and fellow engineers, driving the end-to-end software development cycle. From identifying and solving complex problems to coding, reviewing, testing, and maintaining high-quality software, you'll play a crucial role in shaping our technology and supporting diverse teams.</p><p>
Our engineering team is a dynamic group of professionals who excel in both technical prowess and innovative thinking. We are passionate about scaling solutions and optimizing performance, and we value clear communication.
</p><p>If you have a fervent enthusiasm for software development, exceptional problem-solving skills, and a drive to make a significant impact, we'd love for you to join us on this exciting journey!</p></div><p></p>","true","3739997","https://media.glassdoor.com/sql/3739997/pinhome-squarelogo-1638876726969.png","PT. Properti Solusi Manajemen","https://www.glassdoor.com/Overview/W-EI_IE3739997.htm","1010126639172","113","2709872","Jakarta","C","IDR",,,,,"4.3","https://www.glassdoor.com/job-listing/software-engineering-intern-pinhome-JV_IC2709872_KO0,27_KE28,35.htm?jl=1010126639172","Software Engineering Intern","https://www.glassdoor.com/job-listing/j?jl=1010126639172"
